INLINE BuffEffectsTable,Name Text,R Text,Duration,Atk Mul,Atk Div,Hit Mul,Hit Div,Avo Mul,Avo Div,Crit Mul,Crit Div,AS Mul,AS Div,Def Mul,Def Div,Luc Mul,Luc Div,Mov Add
EmptyBuff,NoBuffLabel,NoBuffDesc,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
VanguardBuff,VanguardBuffLabel,VanguardBuffDesc,3,6,5,1,1,1,1,1,1,6,5,4,5,1,1,0
NaturalLeaderBuff,NaturalLeaderBuffLabel,NaturalLeaderBuffDesc,1,6,5,1,1,1,1,1,1,6,5,1,1,1,1,0
BerserkerVow1Buff,BerserkerVowBuffLabel,BerserkerVowBuffDesc1,2,7,5,1,1,1,1,1,1,1,1,1,1,1,1,0
BerserkerVow2Buff,BerserkerVowBuffLabel,BerserkerVowBuffDesc2,2,9,5,1,1,1,1,1,1,1,1,1,1,1,1,0
BerserkerVow3Buff,BerserkerVowBuffLabel,BerserkerVowBuffDesc3,2,12,5,1,1,1,1,1,1,1,1,1,1,1,1,0
SureAim1Buff,SureAimBuffLabel,SureAimBuffDesc1,2,1,1,6,5,1,1,1,1,1,1,1,1,6,5,0
SureAim2Buff,SureAimBuffLabel,SureAimBuffDesc2,2,1,1,3,2,1,1,1,1,1,1,1,1,3,2,0
PanacaeaBuff,PanacaeaBuffLabel,PanacaeaBuffDesc,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Immunize1Buff,ImmunizeBuffLabel,ImmunizeBuffDesc1,2,1,1,1,1,1,1,1,1,1,1,4,3,1,1,0
Immunize2Buff,ImmunizeBuffLabel,ImmunizeBuffDesc2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0
Immunize3Buff,ImmunizeBuffLabel,ImmunizeBuffDesc3,2,1,1,1,1,1,1,1,1,1,1,8,3,1,1,0
RallyingFlag1Buff,RallyingFlagLabel,RallyingFlagDesc1,2,11,10,1,1,1,1,11,10,1,1,1,1,1,1,0
RallyingFlag2Buff,RallyingFlagLabel,RallyingFlagDesc2,2,13,10,1,1,1,1,13,10,1,1,1,1,1,1,0
SurvivalFlag1Buff,SurvivalFlagLabel,SurvivalFlagDesc1,2,1,1,1,1,11,10,1,1,1,1,11,10,1,1,0
SurvivalFlag2Buff,SurvivalFlagLabel,SurvivalFlagDesc2,2,1,1,1,1,13,10,1,1,1,1,13,10,1,1,0
ExpertiseFlag1Buff,ExpertiseFlagLabel,ExpertiseFlagDesc1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ExpertiseFlag2Buff,ExpertiseFlagLabel,ExpertiseFlagDesc2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bravery1Buff,BraveryLabel,BraveryDesc1,1,13,10,1,1,1,1,1,1,1,1,1,1,1,1,0
Bravery2Buff,BraveryLabel,BraveryDesc2,1,15,10,1,1,1,1,1,1,1,1,1,1,1,1,0
Bravery3Buff,BraveryLabel,BraveryDesc3,1,18,10,1,1,1,1,1,1,1,1,1,1,1,1,0
Shelter1Buff,ShelterLabel,ShelterDesc1,1,1,1,1,1,1,1,1,1,1,1,13,10,1,1,0
Shelter2Buff,ShelterLabel,ShelterDesc2,1,1,1,1,1,1,1,1,1,1,1,15,10,1,1,0
Shelter3Buff,ShelterLabel,ShelterDesc3,1,1,1,1,1,1,1,1,1,1,1,18,10,1,1,0
Mercury1Buff,MercuryLabel,MercuryDesc1,1,1,1,1,1,1,1,1,1,13,10,1,1,1,1,0
Mercury2Buff,MercuryLabel,MercuryDesc2,1,1,1,1,1,1,1,1,1,15,10,1,1,1,1,0
Mercury3Buff,MercuryLabel,MercuryDesc3,1,1,1,1,1,1,1,1,1,18,10,1,1,1,1,0
Insight1Buff,InsightLabel,InsightDesc1,1,1,1,15,10,1,1,1,1,1,1,1,1,1,1,0
Insight2Buff,InsightLabel,InsightDesc2,1,1,1,18,10,1,1,1,1,1,1,1,1,1,1,0
Insight3Buff,InsightLabel,InsightDesc3,1,1,1,25,10,1,1,1,1,1,1,1,1,1,1,0
Fleeting1Buff,FleetingLabel,FleetingDesc1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fleeting2Buff,FleetingLabel,FleetingDesc2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Fleeting3Buff,FleetingLabel,FleetingDesc3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
MagusRune1Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,11,10,1,1,0
MagusRune2Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,12,10,1,1,0
RevolutionRune1Buff,0,0,2,1,1,1,1,1,1,12,10,1,1,1,1,1,1,0
RevolutionRune2Buff,0,0,2,1,1,1,1,1,1,14,10,1,1,1,1,1,1,0
AgilityRune1Buff,0,0,2,1,1,1,1,1,1,1,1,11,10,1,1,1,1,0
AgilityRune2Buff,0,0,2,1,1,1,1,1,1,1,1,12,10,1,1,1,1,0
Moonrise1Buff,0,0,1,11,10,11,10,11,10,11,10,11,10,11,10,11,10,0
Moonrise2Buff,0,0,1,12,10,12,10,12,10,12,10,12,10,12,10,12,10,0
Moonrise3Buff,0,0,1,14,10,14,10,14,10,14,10,14,10,14,10,14,10,1
Moonrise4Buff,0,0,1,18,10,18,10,18,10,18,10,18,10,18,10,18,10,1
Moonrise5Buff,0,0,1,25,10,25,10,25,10,25,10,25,10,25,10,25,10,2
Precision1Buff,0,0,2,1,1,13,10,1,1,13,10,1,1,1,1,1,1,0
Precision2Buff,0,0,2,1,1,15,10,1,1,15,10,1,1,1,1,1,1,0
Precision3Buff,0,0,2,1,1,20,10,1,1,20,10,1,1,1,1,1,1,0
BloodFuryBuff,0,0,2,13,10,1,1,1,1,1,1,1,1,1,1,1,1,0
BloodrushBuff,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SpiritShield1Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,12,10,12,10,0
SpiritShield2Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,15,10,15,10,0
BloodyOffense1Buff,0,0,2,13,10,1,1,1,1,1,1,1,1,1,1,1,1,0
BloodyOffense2Buff,0,0,2,15,10,1,1,1,1,1,1,1,1,1,1,1,1,0
Scapegoat1Buff,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Scapegoat2Buff,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Scapegoat3Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Scapegoat4Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Scapegoat5Buff,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ResilientWings1Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,12,10,1,1,0
ResilientWings2Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,14,10,1,1,0
SwiftWings1Buff,0,0,2,1,1,1,1,12,10,1,1,12,10,1,1,1,1,0
SwiftWings2Buff,0,0,2,1,1,1,1,14,10,1,1,14,10,1,1,1,1,0
WingedGallop1Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
WingedGallop2Buff,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
MercysWings1Buff,0,0,2,11,10,11,10,11,10,11,10,11,10,11,10,11,10,0
MercysWings2Buff,0,0,2,13,10,13,10,13,10,13,10,13,10,13,10,13,10,0
MercysWings3Buff,0,0,2,15,10,15,10,15,10,15,10,15,10,15,10,15,10,0
DraconicFury1Buff,0,0,2,13,10,1,1,1,1,1,1,1,1,1,1,1,1,1
DraconicFury2Buff,0,0,2,16,10,1,1,1,1,1,1,1,1,1,1,1,1,2
HerbBoost1Buff,0,0,2,11,10,1,1,1,1,1,1,11,10,1,1,1,1,0
HerbBoost2Buff,0,0,2,13,10,1,1,1,1,1,1,13,10,1,1,1,1,0
HerbBoost3Buff,0,0,2,15,10,1,1,1,1,1,1,15,10,1,1,1,1,0
FuryHerb1Buff,0,0,3,15,10,1,1,1,1,1,1,1,1,1,1,1,1,0
FuryHerb2Buff,0,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
FuryHerb3Buff,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SoulShield1Buff,0,0,3,1,1,1,1,1,1,1,1,1,1,13,10,13,10,0
SoulShield2Buff,0,0,3,1,1,1,1,1,1,1,1,1,1,16,10,16,10,0
SoulCharge1Buff,0,0,3,13,10,13,10,1,1,13,10,1,1,1,1,1,1,0
SoulCharge2Buff,0,0,3,16,10,16,10,1,1,16,10,1,1,1,1,1,1,0
ReboundBuff,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0
BravantBuff,BravantBuffLabel,BravantBuffDesc,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0
StonardBuff,StonardBuffLabel,StonardBuffDesc,3,1,1,1,1,1,1,1,1,1,1,3,2,1,1,0
ohgodnotnoble,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
OPEN,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
