INLINE PromotionItemTable,Promotion Item ID,##UNKNOWN##,Promotion Class List Pointer,Promo Item Usability Pointer
0x0,HeroCrest,0x0,HeroCrestClassList|IsPointer,0x0
0x0,KnightProof,0x0,KnightProofClassList|IsPointer,0x0
0x0,OrionsBolt,0x0,OrionsBoltClassList|IsPointer,0x0
0x0,Hippokos,0x0,HippokosClassList|IsPointer,0x0
0x0,GuidingRing,0x0,GuidingRingClassList|IsPointer,0x0
0x0,RubyBlade,0x0,RubyBladeClassList|IsPointer,0x0
0x0,SightingLens,0x0,SightingLensClassList|IsPointer,0x0
0x0,OutlandShield,0x0,OutlandShieldClassList|IsPointer,0x0
0x0,SpiritWrap,0x0,SpiritWrapClassList|IsPointer,0x0
0x0,ElysianWhip,0x0,ElysianWhipClassList|IsPointer,0x0
0x0,PerfectRose,0x0,PerfectRoseClassList|IsPointer,0x0
0x0,BanefulDoll,0x0,BanefulDollClassList|IsPointer,0x0
0x0,DarkBrooch,0x0,DarkBroochClassList|IsPointer,0x0
0x0,DeusHerb,0x0,DeusHerbClassList|IsPointer,0x0
0x0,HolyCloak,0x0,HolyCloakClassList|IsPointer,0x0
0x0,DriveGear,0x0,DriveGearClassList|IsPointer,0x0
0x0,ParadoxCore,0x0,ParadoxCoreClassList|IsPointer,0x0
0x0,GuildSeal,0x0,GuildSealClassList|IsPointer,0x0
End of Table,0xFFFF,0x0,0x0,0x0
