Class,Name,Prereq,Desc,SP,Type,In?,notes
Swordfighter,Initiative,None,1.5x attack if no allies have acted.,1,Passive,X,
Landsknecht,Vanguard,None,"Give self 1.2x Atk/AS, .8x Def taken for a bit.",1,Active (Buff),X,
,Tenacity,Vanguard 1,1.2x Atk/AS if Atk<Foe Atk/AS<Foe AS.,1,Passive,X,
,Natural Leader,PROMO,"At start of turn, nearby allies get 1.2x Atk/AS for turn.",1,Passive (Buff),X,Turn Start
,Guard Break,None,A glancing hit that lowers Def.,2,Attack (Debuff),X,
,Power Break,Guard Break 1,A glancing hit that lowers Atk.,2,Attack (Debuff),X,
,Agility Break,Power Break 1,A glancing hit that lowers AS.,2,Attack (Debuff),X,
,Wrath Strike,None,A powerful sword strike.,3,Attack,X,
,Sword Glint,Wrath Strike 1,Adds proportion of Mag to Atk.,3,Attack,X,
,Weapon Parry,Tenacity 1,Bonus defense per Swd in inventory.,3,Passive,X,
,Falcon Slash,"Wrath Strike 3, Sword Glint 2","Ranged, deals AOE damage postbattle.",3,Attack,X,PostBattle
,Swift Strikes,"PROMO, Wrath Strike 3",Strike twice in a row.,3,Attack,X,
,Spellchaser,"Initiative 1, Sword Glint 3","For turn, follow up allied magic.",5,Active (State),,
,Full Break,"Guard Break 2, Power Break 2, Agility Break 2",Deals bonus damage to debuffed targets.,5,Attack,X,
,Tempest,"PROMO, Weapon Parry 3, Swift Strikes 3",Strikes 1+N times. N=Number of held swords.,5,Attack,X,
,,,,,,,
Knight,Iron Wall,None,Adjacent allies have 1.2x Def.,1,Passive,X,
Hoplite,Leering Wall,None,Adjacent enemies have 0.9x Atk.,1,Passive,X,
,Wariness,Provocation 3,Can't be doubled while at 50% HP or less.,1,Passive,X,
,Unbreakable,PROMO,Halves chip damage taken.,1,Passive,X,
,Long Thrust,None,A far-ranged lance strike.,2,Attack,X,
,Bounding Thrust,Long Thrust 1,A thrust that brings user to the enemy's back.,2,Attack,X,
,Vitality Thrust,Bounding Thrust 1,A thrust that recovers the user's HP.,2,Attack,X,
,Phys. Guard,None,Reduces Phys. damage in an area for a turn.,3,Active (State),X,
,Magic Guard,None,Reduces Magic damage in an area for a turn.,3,Active (State),X,
,Provocation,Iron Wall 1,Drop guard to force enemies to attack user.,3,Active (State),X,
,Lucky Guard,"Phys. Guard 2, Magic Guard 2",Grants a chance to nullify attacks in an area.,3,Active (State),X,
,Brave Guard,"PROMO, Phys. Guard 3, Magic Guard 3",Takes damage in place of low HP allies.,3,Active (State),X,
,Full Guard,"Phys. Guard 1, Magic Guard 1",Slightly reduces all damage in an area for a turn.,5,Active (State),X,
,Blitz Thrust,"Bounding Thrust 2, Vitality Thrust 2, Provocation 2",Thrust repeatedly until you're out of targets.,5,Attack,X,
,Avenger Thrust,"PROMO, Brave Guard 3, Lucky Guard 3, Provocation 3",Thrust's power multiplied by number of allies at 50% HP.,5,Attack,X,
,,,,,,,
Axefighter,Endless Battle,None,+1 Atk/turn passed.,1,Passive,X,
Gladiator,Steady Morale,None,Restore 10 HP after initiating combat.,1,Passive,X,
,Overpowering,Shield Crush 1,1.2x Atk when Str > enemy Str.,1,Passive,X,
,Full Charge,PROMO,Charge to get 2.5x Atk next initiation.,1,Active (State),X,
,Arm Crush,None,A swing that binds arms.,2,Attack (Ailment),X,
,Shield Crush,Arm Crush 1,A swing that cripples defenses.,2,Attack (Debuff),X,
,Smiting Smash,Heavy Swing 3,A swing that knocks back targets.,2,Attack,X,PostBattle
